PTSS110087,思政A,马克思主义基本原理
PTSS110089,思政A,思想道德与法治
PTSS110082,思政A,毛泽东思想和中国特色社会主义理论体系概论
PTSS110080,思政B,中国共产党历史
LAWS119007,七模,法律与科技文明
AIB219005,七模,神经、认知与类脑智能
FINE110043,七模,数码艺术设计基础
ENGL110045,英语,学术英语（科学技术）
PEDU110131,体育,篮球（二）
NDEC110004,军理,军事理论
MATH120017,数分,数学分析BII
PHYS120003,普物,普通物理B
COMP130135,程设,面向对象程序设计
